Col0,Col1,Col2,Col3
4079.0,1.0,H,1.7615941559557649
3240.7999999999997,1.0,:,1.0
3240.7999999999997,0.0,/,0.0
1849.2999999999997,1.0,/,1.7615941559557649
4500.0,0.0,w,0.0
3284.699999999999,1.0,o,1.7615941559557649
1795.4999999999989,1.0,r,1.0
1795.4999999999989,0.0,k,0.0
835.6999999999988,0.7560975609756098,_,1.3948701529500367
924.5999999999988,0.48717948717948717,p,0.22456167297786744
897.3999999999988,0.5416666666666666,r,0.5960999886404565
922.7999999999989,0.0,o,-1.0
247.59999999999917,0.43312101910828027,j,0.8410473053527615
6.29999999999913,0.10526315789473684,e,-0.21133150067714318
1647.4999999999986,0.29508196721311475,c,0.4826533631797443
529.7999999999986,0.3153526970954357,t,0.33562065100289035
1279.0999999999985,0.0,s,-1.0
1301.0999999999988,0.2777777777777778,/,0.5486248962944993
908.1999999999987,0.21830985915492956,/,0.15891194295365463
387.49999999999864,0.09387755102040816,n,-0.029916498086075397
19.199999999998653,0.016597510373443983,e,-0.060529052829045235
1772.5999999999985,0.20916905444126074,t,0.3993949582935988
19.999999999999176,0.07692307692307693,w,-0.05455730603837111
1480.2999999999986,0.12213740458015267,o,0.1673209463277506
1651.399999999998,0.2026431718061674,r,0.28297546466157736
1412.0999999999979,0.12127659574468085,k,0.04008910844046153
2108.199999999998,0.12962962962962962,_,0.137982469247435
2108.199999999998,0.0,s,-1.0
1978.2999999999977,0.12103174603174603,l,0.24147594926596594
1521.0999999999976,0.047311827956989246,i,-0.02627483305549213
798.9999999999978,0.0946969696969697,c,0.1420466778254582
125.89999999999782,0.047619047619047616,i,0.0005758748171665259
1091.0999999999979,0.0,n,-1.0
49.69999999999766,0.043875685557586835,g,0.08772323810500043
49.69999999999763,0.023853211009174313,/,0.0038334116983539807
455.7999999999977,0.08279220779220779,/,0.14166305173959393
2529.1000000000004,1.0,n,1.7615941559557649
